latitude(y);longitude(x);hasPassenger;time;closest_intersection_x;closest_intersection_y;relative_position;relative_position_normalized;intersected_line_oneway;intersected_line_as_linestring;linestring_adjustment_visualization;path_time;path_as_linestring;path_length;air_line_length;path_length/air_line_length;velocity_m_s;pathIDs;solution_id;solution_index;path_from_target_to_source;comment
37.78506;-122.40026;0;1213034631;-122.40032574802935;37.78514314948628;0.0012190279742379671;0.8701156919811712;F;LINESTRING (-122.3993695342441 37.78589924762733, -122.4004684844114 37.78503028485834);LINESTRING (-122.40026 37.78506, -122.4003257480293 37.78514314948628);;;;;;;;8980;0;0;Cannot compute shortest path as previous point is (0,0). 
37.78666;-122.39856;0;1213034570;-122.39850129743013;37.786585757581555;0.0003114840031413778;0.33925635091384315;F;LINESTRING (-122.3982569633403 37.78677894955025, -122.3989771682507 37.78620949235903);LINESTRING (-122.39856 37.78666, -122.3985012974301 37.78658575758156);61;LINESTRING (-122.3985012974301 37.78658575758156, -122.3989771682507 37.78620949235903, -122.3993695342441 37.78589924762733, -122.4003257480293 37.78514314948628);226.79732593941878;226.7973259392242;1.000000000000858;3.7179889498265375;['8978', '8979', '8980'];8978;0;0;
37.78676;-122.39851;1;1213034566;-122.39842187963639;37.78664855225721;0.00021023995515504984;0.22898524252566127;F;LINESTRING (-122.3982569633403 37.78677894955025, -122.3989771682507 37.78620949235903);LINESTRING (-122.39851 37.78676, -122.3984218796364 37.78664855225721);4;LINESTRING (-122.3984218796364 37.78664855225721, -122.3985012974301 37.78658575758156);9.872242152071667;9.872242152071667;1.0;2.468060538017917;['8978'];8978;0;0;
37.78754494452545;-122.39921252738576;1;1213034512;-122.39921252738576;37.78754494452545;5.4651748781572684e-05;0.09135574636838246;B;LINESTRING (-122.3992550487969 37.78757927735575, -122.3987896001211 37.78720346267887);LINESTRING (-122.3992125273858 37.78754494452545, -122.3992125273858 37.78754494452545);54;LINESTRING (-122.3992125273858 37.78754494452545, -122.3987896001211 37.78720346267887, -122.3982569633403 37.78677894955025, -122.3984218796364 37.78664855225721);140.10854918400304;121.50041084036944;1.1531528841337129;2.5946027626667227;['171', '172', '8978'];171;1;0;The source point of this path was reset as this leads to much shorter path lengths. Previous solution: (-122.39918165579675, 37.787637362840975) / New solution: (-122.39921252738576, 37.78754494452545). 
37.78911;-122.40205;1;1213034467;-122.40204828355537;37.789096289148574;5.120963871793328e-05;0.07408590697920475;T;LINESTRING (-122.4019974705452 37.78910265036684, -122.402683336619 37.78901678763625);LINESTRING (-122.40205 37.78911, -122.4020482835554 37.78909628914857);45;LINESTRING (-122.4020482835554 37.78909628914857, -122.4019974705452 37.78910265036684, -122.4019604333583 37.78892217096902, -122.4020657294828 37.78872115232993, -122.4015098885294 37.78826926873686, -122.4008123031016 37.78881549657121, -122.400343849668 37.78844216326394, -122.3997980240574 37.78800716037826, -122.3992550487969 37.78757927735575, -122.3992125273858 37.78754494452545);404.71970860796404;303.0737165967218;1.3353837249651548;8.993771302399201;['5000', '6462', '6177', '3324', '168', '169', '170', '171'];5000;0;0;The target point of this path was reset as this leads to much shorter path lengths.
37.78911;-122.40205;1;1213034451;-122.40204828355537;37.789096289148574;5.120963871793328e-05;0.07408590697920475;T;LINESTRING (-122.4019974705452 37.78910265036684, -122.402683336619 37.78901678763625);LINESTRING (-122.40205 37.78911, -122.4020482835554 37.78909628914857);;;0;0;1;0;;5000;0;0;source==target. Taxi did not move. 
37.79541;-122.40336;1;1213034309;-122.40329469025588;37.79542340479276;0.0003645191391173318;0.7670740635825414;T;LINESTRING (-122.4032214007052 37.79506632938818, -122.4033169450003 37.79553183255343);LINESTRING (-122.40336 37.79541, -122.4032946902559 37.79542340479276);142;LINESTRING (-122.4032946902559 37.79542340479276, -122.4032214007052 37.79506632938818, -122.4031392953142 37.79466628226901, -122.4030468824528 37.79421603815585, -122.4029573602761 37.79377985756166, -122.4027667696724 37.79285122155868, -122.4025713306873 37.79189893991254, -122.4023804020341 37.79096861069421, -122.4021896444162 37.79003909662701, -122.4025326794307 37.78999554089751, -122.4028693955933 37.78995278638038, -122.402683336619 37.78901678763625, -122.4020482835554 37.78909628914857);828.8839447338469;712.0169321742206;1.1641351592619578;5.837210878407372;['6388', '6387', '6386', '6385', '6384', '6383', '6382', '6381', '3149', '3150', '1296', '5000'];6388;0;0;
37.7964;-122.40468;1;1213034246;-122.40463898236611;37.79645921506976;0.00027592331191079837;0.2588588559287696;B;LINESTRING (-122.4044121608694 37.79630209828937, -122.4052883970557 37.79690905755228);LINESTRING (-122.40468 37.7964, -122.4046389823661 37.79645921506976);63;LINESTRING (-122.4046389823661 37.79645921506976, -122.4044121608694 37.79630209828937, -122.4040684904258 37.7960640372546, -122.4033169450003 37.79553183255343, -122.4032946902559 37.79542340479276);167.54647987484913;164.97722438487273;1.015573395052293;2.6594679345214147;['11955', '11954', '12036', '6388'];11955;0;0;
37.79732;-122.40602;1;1213034183;-122.40597514916668;37.79738475086399;0.0005622668585274386;0.64780972925582;B;LINESTRING (-122.4055129356394 37.79706459047395, -122.4062264376237 37.79755881026655);LINESTRING (-122.40602 37.79732, -122.4059751491667 37.79738475086399);63;LINESTRING (-122.4059751491667 37.79738475086399, -122.4055129356394 37.79706459047395, -122.4052883970557 37.79690905755228, -122.4046389823661 37.79645921506976);156.1241108924667;156.1241108922914;1.0000000000011227;2.478160490356614;['11957', '11956', '11955'];11957;0;0;
37.79912;-122.40875;1;1213034123;-122.40866260678338;37.799246179163056;0.0009647664039077289;0.6927448889156543;B;LINESTRING (-122.4078694963893 37.79869686129795, -122.4090143772925 37.7994898196783);LINESTRING (-122.40875 37.79912, -122.4086626067834 37.79924617916306);60;LINESTRING (-122.4086626067834 37.79924617916306, -122.4078694963893 37.79869686129795, -122.4070829258659 37.798152056519, -122.4066679312835 37.79786461279496, -122.4062264376237 37.79755881026655, -122.4059751491667 37.79738475086399);314.0032834708237;314.0032834702936;1.0000000000016882;5.233388057847062;['11961', '11960', '11959', '11958', '11957'];11961;0;0;
