latitude(y);longitude(x);hasPassenger;time;closest_intersection_x;closest_intersection_y;relative_position;relative_position_normalized;intersected_line_oneway;intersected_line_as_linestring;linestring_adjustment_visualization;path_time;path_as_linestring;path_length;air_line_length;path_length/air_line_length;velocity_m_s;pathIDs;solution_id;solution_index;path_from_target_to_source;comment
37.79163;-122.3923;1;1213036785;-122.39223118041116;37.79154294401859;0.0007462020666968812;0.6660964794754476;B;LINESTRING (-122.3916457975859 37.79200570148448, -122.3925246234667 37.79131097109609);LINESTRING (-122.3923 37.79163, -122.3922311804112 37.79154294401859);;;;;;;;8971;0;0;Cannot compute shortest path as previous point is (0,0). 
37.79254;-122.39253;1;1213036725;-122.39244665515798;37.79264449045183;0.00093976021283995;0.4784505219367514;F;LINESTRING (-122.3931813327667 37.79323049221713, -122.3916457975859 37.79200570148448);LINESTRING (-122.39253 37.79254, -122.392446655158 37.79264449045183);60;LINESTRING (-122.392446655158 37.79264449045183, -122.3916457975859 37.79200570148448, -122.3922311804112 37.79154294401859);172.74458258611173;123.94113390869867;1.393763128820204;2.8790763764351954;['3318', '8971'];3318;0;0;
37.79236;-122.39248;1;1213036670;-122.3923283494626;37.79255012614086;0.0010910905162902448;0.55549577420577;F;LINESTRING (-122.3931813327667 37.79323049221713, -122.3916457975859 37.79200570148448);LINESTRING (-122.39248 37.79236, -122.3923283494626 37.79255012614086);55;LINESTRING (-122.3923283494626 37.79255012614086, -122.392446655158 37.79264449045183);14.770459871181933;14.770459871181933;1.0;0.26855381583967153;['3318'];3318;0;1;The oneway-property was ignored. 
37.79338;-122.39319;1;1213036613;-122.39325951233604;37.79329284853676;0.0007690850755928586;0.8849346554217467;B;LINESTRING (-122.3938607690441 37.79377241315655, -122.3931813327667 37.79323049221713);LINESTRING (-122.39319 37.79338, -122.393259512336 37.79329284853676);57;LINESTRING (-122.393259512336 37.79329284853676, -122.3931813327667 37.79323049221713, -122.3923283494626 37.79255012614086);116.25521409107489;116.25521409065563;1.0000000000036064;2.039565159492542;['3317', '3318'];3317;0;0;
37.79068;-122.39351;1;1213036553;-122.39350289415106;37.790688856437484;0.001842797850162119;0.9380309264257235;T;LINESTRING (-122.3949402373681 37.79184209032222, -122.3934079390434 37.79061267042545);LINESTRING (-122.39351 37.79068, -122.3935028941511 37.79068885643748);60;LINESTRING (-122.3935028941511 37.79068885643748, -122.3949402373681 37.79184209032222, -122.3940596238203 37.79253721729117, -122.3931813327667 37.79323049221713, -122.393259512336 37.79329284853676);408.20187366730676;290.33942390203805;1.4059471090120923;6.8033645611217795;['7278', '6727', '6726', '3317'];7278;0;0;
37.78788;-122.39381;1;1213036492;-122.39378483304797;37.78784812678507;0.00023911883287182668;0.5145064287855292;T;LINESTRING (-122.3935971639303 37.78799630950505, -122.3939619195625 37.78770830004261);LINESTRING (-122.39381 37.78788, -122.393784833048 37.78784812678507);61;LINESTRING (-122.393784833048 37.78784812678507, -122.3935971639303 37.78799630950505, -122.3933056904245 37.78822645225674, -122.3927228337781 37.78868666193564, -122.3918582903102 37.78936926773188, -122.3934079390434 37.79061267042545, -122.3935028941511 37.79068885643748);445.260977336658;316.84483188793075;1.4052966390000912;7.299360284207508;['10500', '10588', '10587', '10586', '7279', '7278'];10500;0;0;
37.78546;-122.39683;1;1213036432;-122.39682190127989;37.78544976556961;0.0001488477113450886;0.10549476485421698;T;LINESTRING (-122.3967051782228 37.78554213098046, -122.3978116128144 37.78466658600929);LINESTRING (-122.39683 37.78546, -122.3968219012799 37.78544976556961);60;LINESTRING (-122.3968219012799 37.78544976556961, -122.3967051782228 37.78554213098046, -122.3956454656183 37.78637893771318, -122.3952662946249 37.78667834497614, -122.3944812735247 37.78729821483294, -122.3939619195625 37.78770830004261, -122.393784833048 37.78784812678507);377.2940899152442;377.29408230190757;1.0000000201787862;6.288234831920736;['10505', '10504', '10503', '10502', '10501', '10500'];10505;0;0;
37.78166;-122.39618;1;1213036372;-122.39621386213936;37.78161769309467;0.00021218512737395916;0.309049982481371;T;LINESTRING (-122.3963795191467 37.78175028375868, -122.395843499031 37.78132125715609);LINESTRING (-122.39618 37.78166, -122.3962138621394 37.78161769309467);60;LINESTRING (-122.3962138621394 37.78161769309467, -122.3963795191467 37.78175028375868, -122.3968414273616 37.78211912156441, -122.3973855387827 37.7825535929401, -122.39794293902 37.78299789736319, -122.3989303311713 37.78378493382207, -122.3978116128144 37.78466658600929, -122.3968219012799 37.78544976556961);601.1317325894244;429.44439326600906;1.3997894535720896;10.01886220982374;['211', '210', '209', '292', '291', '10506', '10505'];211;0;0;
37.77803;-122.39188;1;1213036312;-122.39182309223916;37.77804182893768;8.566125852967846e-05;0.02865051934431364;T;LINESTRING (-122.3918405252968 37.77812569752366, -122.3917995442267 37.77792854195454, -122.3938359965452 37.77632922268155, -122.3940350652088 37.77633297649542);LINESTRING (-122.39188 37.77803, -122.3918230922392 37.77804182893768);60;LINESTRING (-122.3918230922392 37.77804182893768, -122.3918405252968 37.77812569752366, -122.3927497867703 37.77885171751994, -122.3943000373321 37.78008973028664, -122.3946314633473 37.780354394924, -122.3950649518759 37.78070056031112, -122.3955177527101 37.78106214069288, -122.395843499031 37.78132125715609, -122.3962138621394 37.78161769309467);555.7995406031841;554.081501872388;1.003100696783759;9.263325676719736;['8157', '217', '216', '215', '214', '213', '212', '211'];8157;0;0;Checked the second solution (solution_id: 8158 / solution_index: 1 / new cummulated path_length: 1663.5511339677878) initial solution (solution_id: 8157 / solution_index: 0 / initial cummulated path_length: 1095.5499351863382) was chosen due to a shorter cummulated path_length.
37.777804997885816;-122.39195685590886;1;1213036252;-122.39195685590886;37.777804997885816;0.0004013949800827664;0.13425175906780895;T;LINESTRING (-122.3918405252968 37.77812569752366, -122.3917995442267 37.77792854195454, -122.3938359965452 37.77632922268155, -122.3940350652088 37.77633297649542);LINESTRING (-122.3919568559089 37.77780499788582, -122.3919568559089 37.77780499788582);60;LINESTRING (-122.3919568559089 37.77780499788582, -122.3917995442267 37.77792854195454, -122.3918230922392 37.77804182893768);32.25604676903046;28.839353973347812;1.1184732778286304;0.537600779483841;['8157'];8157;1;0;The source point of this path was reset as this leads to much shorter path lengths. Previous solution: (-122.39212128483823, 37.77801428686323) / New solution: (-122.39195685590886, 37.777804997885816). 
