latitude(y);longitude(x);hasPassenger;time;closest_intersection_x;closest_intersection_y;relative_position;relative_position_normalized;intersected_line_oneway;intersected_line_as_linestring;linestring_adjustment_visualization;path_time;path_as_linestring;path_length;air_line_length;path_length/air_line_length;velocity_m_s;pathIDs;solution_id;solution_index;path_from_target_to_source;comment
37.75134;-122.39488;0;1213084687;-122.39487935492318;37.751325553427414;0.0014750051944452255;0.5196636006862687;B;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.39488 37.75134, -122.3948793549232 37.75132555342741);;;;;;;;2467;0;0;Cannot compute shortest path as previous point is (0,0). 
37.75136;-122.39527;0;1213084659;-122.39522434729177;37.75131014862619;0.0011296690650209474;0.3979971705343552;B;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.39527 37.75136, -122.3952243472918 37.75131014862619);28;LINESTRING (-122.3952243472918 37.75131014862619, -122.3948793549232 37.75132555342741);30.37974934301407;30.37974934301407;1.0;1.0849910479647882;['2467'];2467;0;0;
37.75199;-122.3946;0;1213084540;-122.39462619530579;37.75242443633895;3.9288677130142464e-05;0.04081774049342147;B;LINESTRING (-122.3945869778565 37.75242680104233, -122.3955477720801 37.75236886781659);LINESTRING (-122.3946 37.75199, -122.3946261953058 37.75242443633895);119;LINESTRING (-122.3946261953058 37.75242443633895, -122.3955477720801 37.75236886781659, -122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619);443.5886087597877;134.60144362490834;3.2955709598177036;3.727635367729308;['15013', '6529', '2467'];15013;0;0;
37.7508;-122.39346;0;1213084489;-122.3934241305302;37.75080338672373;0.0002894056804197798;0.24493034606639186;B;LINESTRING (-122.3934513346468 37.75109151097453, -122.3933402658592 37.74991515918543);LINESTRING (-122.39346 37.7508, -122.3934241305302 37.75080338672373);51;LINESTRING (-122.3934241305302 37.75080338672373, -122.3933402658592 37.74991515918543, -122.3953078613906 37.74980378586793, -122.3953476011175 37.75022868853605, -122.3955477720801 37.75236886781659, -122.3946261953058 37.75242443633895);639.7378461926892;208.9499374702064;3.061680007843542;12.543879337111553;['6518', '13933', '6530', '6529', '15013'];6518;0;0;
37.75015;-122.39256;0;1213084237;-122.39254374784947;37.75000355509528;0.00016274811260174753;0.16879850792277978;B;LINESTRING (-122.3923819927842 37.75002150633554, -122.3933402658592 37.74991515918543);LINESTRING (-122.39256 37.75015, -122.3925437478495 37.75000355509528);252;LINESTRING (-122.3925437478495 37.75000355509528, -122.3933402658592 37.74991515918543, -122.3934241305302 37.75080338672373);169.75810575193577;117.9029991689556;1.4398115989286373;0.673643276793396;['13932', '6518'];13932;0;0;
37.75454;-122.39227;0;1213084177;-122.3922451067295;37.75454437149346;0.001906753221018156;0.640129851674809;F;LINESTRING (-122.3924474396619 37.75643621339018, -122.3923958769365 37.75548376134563, -122.3923389731798 37.75496470366402, -122.3922529625973 37.75458910637506, -122.3921763244849 37.75415269413293, -122.3921220718517 37.75373758854158, -122.3921210210149 37.75348195316145);LINESTRING (-122.39227 37.75454, -122.3922451067295 37.75454437149346);60;LINESTRING (-122.3922451067295 37.75454437149346, -122.3921763244849 37.75415269413293, -122.3921220718517 37.75373758854158, -122.3921210210149 37.75348195316145, -122.3921939011968 37.75334212384932, -122.3923060915357 37.753244994636, -122.3924301892296 37.75318667149851, -122.3925878066514 37.75315814214243, -122.3926900328275 37.75307264503675, -122.3926393865188 37.75254468281233, -122.3925779246535 37.7519421987647, -122.3925314567857 37.75148668834009, -122.3923819927842 37.75002150633554, -122.3925437478495 37.75000355509528);544.9449304774826;505.5979471959732;1.077822672144391;9.082415507958043;['1065', '991', '5299', '5300', '5301', '5302', '13932'];1065;0;0;
37.75901;-122.3925;0;1213084172;-122.39243527225649;37.759011157952706;0.0019045128515368752;0.42502868867793503;F;LINESTRING (-122.392547794219 37.76091148370772, -122.3924470719575 37.75967074276833, -122.3924192923123 37.75811790408622, -122.3924610172652 37.7573979412971, -122.3924474396619 37.75643621339018);LINESTRING (-122.3925 37.75901, -122.3924352722565 37.75901115795271);5;LINESTRING (-122.3924352722565 37.75901115795271, -122.3924192923123 37.75811790408622, -122.3924610172652 37.7573979412971, -122.3924474396619 37.75643621339018, -122.3923958769365 37.75548376134563, -122.3923389731798 37.75496470366402, -122.3922529625973 37.75458910637506, -122.3922451067295 37.75454437149346);497.82467412241976;496.9652687981472;1.001729306609999;99.56493482448396;['1005', '1065'];1005;0;0;
37.77053;-122.39788;0;1213084092;-122.39787798291063;37.77053030018294;0.004966894974663827;0.8113768570687864;F;LINESTRING (-122.3962613467751 37.77457806729839, -122.3964401801869 37.77458815626716, -122.3969576880005 37.77417862881921, -122.3974208660839 37.7738196267028, -122.3976550243702 37.77362085663393, -122.3978240215683 37.77342656244159, -122.3980526923917 37.77300403829224, -122.3981261083107 37.77265889995851, -122.3980174463257 37.77146742928954, -122.3978649652876 37.77044282782742, -122.3977168319332 37.76938693530318);LINESTRING (-122.39788 37.77053, -122.3978779829106 37.77053030018294);80;LINESTRING (-122.3978779829106 37.77053030018294, -122.3978649652876 37.77044282782742, -122.3977168319332 37.76938693530318, -122.3974451224765 37.76880293553571, -122.3968266151445 37.76815257415734, -122.3945969320491 37.7663667879183, -122.3941876466298 37.76599400074377, -122.3933485574927 37.76497099055435, -122.3929361059018 37.76391693959784, -122.3926216607851 37.76182137198553, -122.392547794219 37.76091148370772, -122.3924470719575 37.75967074276833, -122.3924352722565 37.75901115795271);1427.364776348946;1367.3056880119163;1.04392513602745;17.842059704361823;['994', '1003', '1004', '1005'];994;0;0;
37.77669;-122.39382;0;1213084032;-122.39381149470054;37.776679232096406;0.0024661626719947784;0.8423644947904679;F;LINESTRING (-122.3918405252968 37.77812569752366, -122.3920136479059 37.77809930660122, -122.3940482637655 37.77649221409598, -122.3940350652088 37.77633297649542);LINESTRING (-122.39382 37.77669, -122.3938114947005 37.77667923209641);60;LINESTRING (-122.3938114947005 37.77667923209641, -122.3940482637655 37.77649221409598, -122.3940350652088 37.77633297649542, -122.394246212988 37.77632705062746, -122.3962587743535 37.7747353748185, -122.3962613467751 37.77457806729839, -122.3964401801869 37.77458815626716, -122.3969576880005 37.77417862881921, -122.3974208660839 37.7738196267028, -122.3976550243702 37.77362085663393, -122.3978240215683 37.77342656244159, -122.3980526923917 37.77300403829224, -122.3981261083107 37.77265889995851, -122.3980174463257 37.77146742928954, -122.3978779829106 37.77053030018294);854.7746260843851;771.5126245339676;1.1079204654631698;14.246243768073084;['8158', '8160', '994'];8158;0;0;
37.78194;-122.38844;0;1213083971;-122.38839361467832;37.78193718977072;0.00017020334920469078;0.05482446457735482;T;LINESTRING (-122.388306068016 37.78179823551555, -122.3883952551911 37.7819101116548, -122.3883814144826 37.78213856479952, -122.3883748117682 37.78248014985522, -122.3882082800461 37.78463123816757, -122.3880233437285 37.78477361421237);LINESTRING (-122.38844 37.78194, -122.3883936146783 37.78193718977072);61;LINESTRING (-122.3883936146783 37.78193718977072, -122.3883952551911 37.7819101116548, -122.388306068016 37.78179823551555, -122.3881088604947 37.7816925385679, -122.3881457776359 37.7813958132973, -122.388231910106 37.78108468879157, -122.3883440946504 37.78084718044194, -122.3885215040999 37.78058452159464, -122.3888026277531 37.78028270061318, -122.3893568180164 37.77983153165731, -122.389590695839 37.77986128583469, -122.389769153806 37.77986495647504, -122.3906605977074 37.77916496936531, -122.3911408961032 37.77881851856545, -122.3917939577154 37.77824448816872, -122.3918405252968 37.77812569752366, -122.3920136479059 37.77809930660122, -122.3938114947005 37.77667923209641);822.7600168974255;754.0217046982424;1.0911622460877197;13.487869129465993;['2943', '8153', '8156', '8158'];2943;0;0;
