latitude(y);longitude(x);hasPassenger;time;closest_intersection_x;closest_intersection_y;intersected_line_as_linestring;linestring_adjustment_visualization;path_time;path_as_linestring;path_length;air_line_length;path_length/air_line_length;velocity_m_s;pathIDs;solution_id;solution_index;path_from_target_to_source;comment
37.75162;-122.3936;0;1212794901;-122.39358487250745;37.75136664890964;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.3936 37.75162, -122.3935848725074 37.75136664890964);59;LINESTRING (-122.3935848725074 37.75136664890964, -122.3936229454803 37.75136437558762);3.3568706018005496;3.3568706018005496;1.0;0.05689611189492457;['2467'];2467;0;0;
37.75133;-122.39441;0;1212794849;;;;;;;;;;;;;0;0;This point is an outlier.
37.75148;-122.39503;0;1212794780;-122.39502281751784;37.751319147451646;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.39503 37.75148, -122.3950228175178 37.75131914745165);;;;;;;;2467;0;0;Cannot compute shortest path as previous point is (0,0). 
37.75137050314586;-122.39352032281788;0;1212794628;-122.39352032281788;37.75137050314586;LINESTRING (-122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);LINESTRING (-122.3935203228179 37.75137050314586, -122.3935203228179 37.75137050314586);152;LINESTRING (-122.3935203228179 37.75137050314586, -122.3940868281965 37.75133667733565, -122.3941669264314 37.75135736520154, -122.3950228175178 37.75131914745165);132.72585768287524;132.22131112869718;1.0038159246030087;0.8731964321241792;['2467'];2467;1;0;The source point of this path was reset as this leads to much shorter path lengths. Previous solution: (-122.39343415966056, 37.75090960725315) / New solution: (-122.39352032281788, 37.75137050314586). 
37.75322;-122.39253;0;1212794567;-122.3925209924827;37.75317023576246;LINESTRING (-122.3921210210149 37.75348195316145, -122.3921939011968 37.75334212384932, -122.3923060915357 37.753244994636, -122.3924301892296 37.75318667149851, -122.3925878066514 37.75315814214243, -122.3926900328275 37.75307264503675);LINESTRING (-122.39253 37.75322, -122.3925209924827 37.75317023576246);61;LINESTRING (-122.3925209924827 37.75317023576246, -122.3925878066514 37.75315814214243, -122.3926900328275 37.75307264503675, -122.3926393865188 37.75254468281233, -122.39361946878 37.75248536602341, -122.3945869778565 37.75242680104233, -122.3955477720801 37.75236886781659, -122.3953476011175 37.75022868853605, -122.3952919395083 37.75029819785284, -122.3952969826385 37.75049589499655, -122.3953445931247 37.7510060549776, -122.3953358998579 37.75107212056775, -122.3952830214427 37.75116911274996, -122.3952606345392 37.75124089237212, -122.3952243472918 37.75131014862619, -122.3941669264314 37.75135736520154, -122.3940868281965 37.75133667733565, -122.3935203228179 37.75137050314586);847.2316726877436;218.55820719809398;3.876457825808576;13.889043814553174;['991', '5299', '15011', '15012', '15013', '6529', '2467'];991;0;0;The target point of this path was reset as this leads to much shorter path lengths.
37.7566;-122.39253;0;1212794533;-122.3924497679806;37.756601132709704;LINESTRING (-122.392547794219 37.76091148370772, -122.3924470719575 37.75967074276833, -122.3924192923123 37.75811790408622, -122.3924610172652 37.7573979412971, -122.3924474396619 37.75643621339018);LINESTRING (-122.39253 37.7566, -122.3924497679806 37.7566011327097);34;LINESTRING (-122.3924497679806 37.7566011327097, -122.3924474396619 37.75643621339018, -122.3923958769365 37.75548376134563, -122.3923389731798 37.75496470366402, -122.3922529625973 37.75458910637506, -122.3921763244849 37.75415269413293, -122.3921220718517 37.75373758854158, -122.3921210210149 37.75348195316145, -122.3921939011968 37.75334212384932, -122.3923060915357 37.753244994636, -122.3924301892296 37.75318667149851, -122.3925209924827 37.75317023576246);400.86701897097316;381.5497188071314;1.0506285267991677;11.79020644032274;['1005', '1065', '991'];1005;0;0;
37.76852;-122.39714;0;1212794464;-122.39715892672955;37.76850200028264;LINESTRING (-122.3977168319332 37.76938693530318, -122.3974451224765 37.76880293553571, -122.3968266151445 37.76815257415734, -122.3945969320491 37.7663667879183, -122.3941876466298 37.76599400074377);LINESTRING (-122.39714 37.76852, -122.3971589267295 37.76850200028264);69;LINESTRING (-122.3971589267295 37.76850200028264, -122.3968266151445 37.76815257415734, -122.3945969320491 37.7663667879183, -122.3941876466298 37.76599400074377, -122.3933485574927 37.76497099055435, -122.3929361059018 37.76391693959784, -122.3926216607851 37.76182137198553, -122.392547794219 37.76091148370772, -122.3924470719575 37.75967074276833, -122.3924192923123 37.75811790408622, -122.3924610172652 37.7573979412971, -122.3924497679806 37.7566011327097);1456.4695398760132;1386.553335561241;1.05042446079903;21.10825420110164;['1003', '1004', '1005'];1003;0;0;
37.77674;-122.39381;0;1212794405;-122.3937810164238;37.77670330612979;LINESTRING (-122.3918405252968 37.77812569752366, -122.3920136479059 37.77809930660122, -122.3940482637655 37.77649221409598, -122.3940350652088 37.77633297649542);LINESTRING (-122.39381 37.77674, -122.3937810164238 37.77670330612979);59;LINESTRING (-122.3937810164238 37.77670330612979, -122.3940482637655 37.77649221409598, -122.3940350652088 37.77633297649542, -122.394246212988 37.77632705062746, -122.3962587743535 37.7747353748185, -122.3962613467751 37.77457806729839, -122.3964401801869 37.77458815626716, -122.3969576880005 37.77417862881921, -122.3974208660839 37.7738196267028, -122.3976550243702 37.77362085663393, -122.3978240215683 37.77342656244159, -122.3980526923917 37.77300403829224, -122.3981261083107 37.77265889995851, -122.3980174463257 37.77146742928954, -122.3978649652876 37.77044282782742, -122.3977168319332 37.76938693530318, -122.3974451224765 37.76880293553571, -122.3971589267295 37.76850200028264);1097.538877296199;959.0564098630451;1.1443944965165598;18.602353852477947;['8158', '8160', '994', '1003'];8158;0;0;
37.78049;-122.38899;0;1212794342;-122.38897657948847;37.780473950507925;LINESTRING (-122.388306068016 37.78179823551555, -122.3884268760944 37.78165516651201, -122.3884464985954 37.78142466510082, -122.3884699209469 37.78123227987687, -122.3885389188795 37.78102864115567, -122.3886556171044 37.78080966657539, -122.3888576448557 37.78057340310144, -122.3891164399428 37.78035699983854, -122.3895705865601 37.77999439972987, -122.389590695839 37.77986128583469);LINESTRING (-122.38899 37.78049, -122.3889765794885 37.78047395050793);63;LINESTRING (-122.3889765794885 37.78047395050793, -122.3888576448557 37.78057340310144, -122.3886556171044 37.78080966657539, -122.3885389188795 37.78102864115567, -122.3884699209469 37.78123227987687, -122.3884464985954 37.78142466510082, -122.3884268760944 37.78165516651201, -122.388306068016 37.78179823551555, -122.3881088604947 37.7816925385679, -122.3881457776359 37.7813958132973, -122.388231910106 37.78108468879157, -122.3883440946504 37.78084718044194, -122.3885215040999 37.78058452159464, -122.3888026277531 37.78028270061318, -122.3893568180164 37.77983153165731, -122.389590695839 37.77986128583469, -122.389769153806 37.77986495647504, -122.3906605977074 37.77916496936531, -122.3911408961032 37.77881851856545, -122.3917939577154 37.77824448816872, -122.3918405252968 37.77812569752366, -122.3920136479059 37.77809930660122, -122.3937810164238 37.77670330612979);964.3479942577378;595.0500337368218;1.6206166533623774;15.307111019964092;['8154', '8153', '8156', '8158'];8154;0;0;
37.78465;-122.38818;0;1212794285;-122.38818145495038;37.78465188987668;LINESTRING (-122.388306068016 37.78179823551555, -122.3883952551911 37.7819101116548, -122.3883814144826 37.78213856479952, -122.3883748117682 37.78248014985522, -122.3882082800461 37.78463123816757, -122.3880233437285 37.78477361421237);LINESTRING (-122.38818 37.78465, -122.3881814549504 37.78465188987668);57;LINESTRING (-122.3881814549504 37.78465188987668, -122.3882082800461 37.78463123816757, -122.3883748117682 37.78248014985522, -122.3883814144826 37.78213856479952, -122.3883952551911 37.7819101116548, -122.388306068016 37.78179823551555, -122.3881088604947 37.7816925385679, -122.3881457776359 37.7813958132973, -122.388231910106 37.78108468879157, -122.3883440946504 37.78084718044194, -122.3885215040999 37.78058452159464, -122.3888026277531 37.78028270061318, -122.3893568180164 37.77983153165731, -122.389590695839 37.77986128583469, -122.3895705865601 37.77999439972987, -122.3891164399428 37.78035699983854, -122.3889765794885 37.78047395050793);693.8043699424645;469.7915113008937;1.4768346239830081;12.172006490218676;['2943', '8153', '8154'];2943;0;0;
